Epoch	ClsLoss	DecLoss	DivLoss	LossSum	Accuracy
  1	0.33542278	0.15877841	0.27767951	0.77188070	0.90093750
  2	0.00185892	0.03841903	0.12579869	0.16607664	0.99984375
  3	0.00120783	0.03130597	0.11368315	0.14619695	0.99992187
  4	0.00454623	0.03168610	0.11281126	0.14904359	0.99886719
  5	0.00282581	0.03502276	0.11086130	0.14870988	0.99929687
  6	0.00143652	0.02835827	0.10503829	0.13483308	0.99964844
  7	0.00033190	0.02492766	0.09821210	0.12347166	1.00000000
  8	0.00083629	0.02348849	0.09849637	0.12282115	0.99996094
  9	0.00572865	0.03255305	0.10540042	0.14368212	0.99855469
 10	0.00063094	0.02486883	0.09841937	0.12391913	0.99992187
 11	0.00024266	0.02195325	0.09622480	0.11842071	1.00000000
 12	0.00549346	0.02999961	0.10422586	0.13971893	0.99843750
 13	0.00051062	0.02378285	0.09692648	0.12121995	0.99996094
 14	0.00023547	0.02076345	0.09552296	0.11652187	1.00000000
 15	0.00271037	0.02319882	0.09863088	0.12454007	0.99941406
 16	0.00029539	0.02154643	0.09479963	0.11664145	0.99992187
 17	0.00038089	0.02028660	0.09447760	0.11514509	0.99996094
 18	0.00021620	0.01934913	0.09346005	0.11302538	1.00000000
 19	0.00021197	0.01850154	0.09365805	0.11237156	1.00000000
 20	0.00331356	0.02188889	0.09650751	0.12170997	0.99917969
 21	0.00184469	0.02254385	0.09475923	0.11914778	0.99964844
 22	0.00025111	0.02097229	0.09308471	0.11430812	1.00000000
 23	0.00017688	0.01930572	0.09223026	0.11171287	1.00000000
 24	0.00227972	0.02202458	0.09755564	0.12185993	0.99941406
 25	0.00118331	0.02227142	0.09556017	0.11901490	0.99964844
 26	0.00017936	0.01917357	0.09291756	0.11227049	1.00000000
 27	0.00018830	0.01793903	0.09116125	0.10928858	1.00000000
 28	0.00014010	0.01742942	0.09215465	0.10972417	1.00000000
 29	0.00014337	0.01782340	0.09081310	0.10877987	1.00000000
 30	0.00014199	0.01779807	0.09101632	0.10895637	1.00000000
 31	0.00015472	0.01742578	0.09014406	0.10772456	1.00000000
 32	0.00015985	0.01723140	0.09121455	0.10860580	1.00000000
 33	0.00015988	0.01718931	0.09074365	0.10809284	1.00000000
 34	0.00014422	0.01762075	0.09001378	0.10777875	1.00000000
 35	0.00016273	0.01642722	0.09057913	0.10716907	1.00000000
