Epoch	ClsLoss	DecLoss	DivLoss	LossSum	Accuracy
  1	0.32872114	0.16075012	0.31472493	0.80419618	0.90320312
  2	0.00192195	0.03926744	0.13177200	0.17296139	0.99984375
  3	0.00280613	0.03357728	0.11886346	0.15524688	0.99949219
  4	0.00088996	0.03169265	0.11151769	0.14410030	0.99992187
  5	0.00055169	0.02689580	0.10596287	0.13341035	1.00000000
  6	0.01684603	0.04034957	0.12608669	0.18328229	0.99609375
  7	0.00263875	0.04320926	0.11805901	0.16390702	0.99960938
  8	0.00044439	0.02528432	0.10350540	0.12923412	1.00000000
  9	0.00053200	0.02379399	0.10186728	0.12619327	0.99992187
 10	0.00500780	0.02456480	0.10392466	0.13349725	0.99882812
 11	0.00112650	0.02545986	0.10511226	0.13169862	0.99964844
 12	0.00042942	0.02238938	0.09790275	0.12072155	0.99996094
 13	0.00046723	0.02229200	0.09934486	0.12210408	0.99996094
 14	0.00028926	0.02064264	0.09692458	0.11785648	1.00000000
 15	0.00049651	0.02054925	0.09536669	0.11641246	0.99984375
 16	0.00034435	0.02134686	0.09615276	0.11784397	0.99996094
 17	0.00020663	0.01868894	0.09630375	0.11519932	1.00000000
 18	0.00023179	0.01965611	0.09328653	0.11317442	1.00000000
 19	0.00025750	0.01907887	0.09338186	0.11271822	1.00000000
 20	0.00087801	0.01807338	0.09463543	0.11358682	0.99980469
 21	0.00740424	0.03115721	0.10794676	0.14650821	0.99816406
 22	0.00017669	0.02165630	0.09784420	0.11967719	1.00000000
 23	0.00015056	0.01994418	0.09492106	0.11501580	1.00000000
 24	0.00025418	0.01897188	0.09409266	0.11331871	0.99996094
 25	0.00026910	0.01976744	0.09397555	0.11401209	0.99996094
 26	0.00017619	0.01872602	0.09427062	0.11317283	1.00000000
 27	0.00020839	0.01840642	0.09227596	0.11089077	1.00000000
 28	0.00017943	0.01813866	0.09314262	0.11146070	1.00000000
 29	0.00018672	0.01756836	0.09181894	0.10957402	1.00000000
 30	0.00018984	0.01747208	0.09235384	0.11001577	1.00000000
 31	0.00018385	0.01822309	0.09205688	0.11046382	1.00000000
 32	0.00018815	0.01734392	0.09091194	0.10844400	1.00000000
 33	0.00017729	0.01728530	0.09195983	0.10942241	1.00000000
 34	0.00023352	0.01766397	0.09123891	0.10913639	1.00000000
 35	0.00019619	0.01722459	0.09148312	0.10890390	1.00000000
 36	0.00122000	0.01782659	0.09307372	0.11212031	0.99972656
 37	0.00777679	0.03011354	0.10728127	0.14517160	0.99792969
 38	0.00360980	0.02647634	0.10004563	0.13013177	0.99929687
 39	0.00018003	0.01913676	0.09714788	0.11646467	1.00000000
 40	0.00020498	0.01828103	0.09129526	0.10978127	1.00000000
 41	0.00018696	0.01826813	0.09251203	0.11096713	1.00000000
 42	0.00016168	0.01666215	0.09209969	0.10892352	1.00000000
 43	0.00015079	0.01724935	0.09135192	0.10875205	1.00000000
 44	0.00017994	0.01680234	0.09062913	0.10761140	1.00000000
 45	0.00023464	0.01771521	0.09199692	0.10994677	1.00000000
 46	0.00015820	0.01680426	0.09075315	0.10771561	1.00000000
 47	0.00016311	0.01696065	0.09110759	0.10823135	1.00000000
 48	0.00014823	0.01698268	0.09107358	0.10820450	1.00000000
 49	0.00025101	0.01675913	0.09056127	0.10757141	1.00000000
 50	0.00024039	0.01703652	0.09158601	0.10886292	1.00000000
 51	0.00015575	0.01676491	0.09061494	0.10753560	1.00000000
 52	0.00182272	0.01985924	0.09498308	0.11666504	0.99960938
 53	0.00016028	0.01781763	0.09226635	0.11024426	1.00000000
 54	0.00014793	0.01663336	0.09101312	0.10779442	1.00000000
 55	0.00015097	0.01572351	0.09025574	0.10613022	1.00000000
