Epoch	ClsLoss	DecLoss	DivLoss	LossSum	Accuracy
  1	0.33939892	0.17169285	0.29974466	0.81083643	0.89722656
  2	0.00262245	0.03971656	0.13144657	0.17378558	0.99972656
  3	0.00194148	0.03459953	0.11906551	0.15560652	0.99980469
  4	0.00098622	0.02878878	0.11077872	0.14055372	0.99996094
  5	0.00070709	0.02676345	0.10484394	0.13231448	1.00000000
  6	0.00528770	0.03348125	0.11318648	0.15195544	0.99871094
  7	0.00209257	0.03206375	0.10732302	0.14147934	0.99960938
  8	0.00037624	0.02486808	0.10030235	0.12554666	1.00000000
  9	0.00127352	0.02327758	0.10066284	0.12521395	0.99972656
 10	0.00436020	0.03157912	0.10731664	0.14325596	0.99898438
 11	0.00035365	0.02353218	0.09831583	0.12220166	0.99996094
 12	0.00033732	0.02142490	0.09717786	0.11894007	1.00000000
 13	0.00037837	0.02124602	0.09731602	0.11894041	1.00000000
 14	0.00093644	0.02003952	0.09625022	0.11722617	0.99988281
 15	0.00492178	0.02647376	0.10385460	0.13525015	0.99886719
 16	0.00343576	0.02889636	0.10585157	0.13818370	0.99902344
 17	0.00024660	0.02231136	0.09758257	0.12014053	1.00000000
 18	0.00023747	0.02007370	0.09437326	0.11468443	1.00000000
 19	0.00022497	0.01934076	0.09507959	0.11464532	1.00000000
 20	0.00025969	0.01860428	0.09445466	0.11331863	1.00000000
 21	0.00024482	0.01940490	0.09486224	0.11451196	1.00000000
 22	0.00024691	0.01807585	0.09383115	0.11215390	1.00000000
 23	0.00027352	0.01853309	0.09400487	0.11281148	1.00000000
 24	0.00024390	0.01837050	0.09342408	0.11203848	1.00000000
 25	0.00026059	0.01854086	0.09522667	0.11402813	1.00000000
 26	0.00028025	0.01856507	0.09400727	0.11285259	1.00000000
 27	0.00398207	0.02360443	0.10251028	0.13009678	0.99898438
 28	0.00050007	0.02256957	0.09814090	0.12121053	0.99992187
 29	0.00274627	0.01966098	0.09714375	0.11955100	0.99945313
 30	0.00354287	0.02695789	0.10316833	0.13366909	0.99910156
 31	0.00041683	0.02040607	0.09560868	0.11643158	0.99996094
 32	0.00020976	0.01913885	0.09414204	0.11349066	1.00000000
 33	0.00022429	0.01781751	0.09385409	0.11189589	1.00000000
 34	0.00025030	0.01688758	0.09445740	0.11159529	1.00000000
 35	0.00020943	0.01796500	0.09366764	0.11184207	1.00000000
 36	0.00021097	0.01806105	0.09257755	0.11084958	1.00000000
 37	0.00021649	0.01803651	0.09195725	0.11021025	1.00000000
 38	0.00021355	0.01773020	0.09225263	0.11019638	1.00000000
 39	0.00023078	0.01727866	0.09297350	0.11048294	1.00000000
 40	0.00182991	0.01957467	0.09572178	0.11712636	0.99949219
 41	0.00226229	0.02284057	0.09950169	0.12460455	0.99945313
 42	0.00235564	0.02281215	0.09962596	0.12479375	0.99929687
 43	0.00034475	0.02035814	0.09595060	0.11665348	0.99992187
 44	0.00017254	0.01816441	0.09361818	0.11195513	1.00000000
 45	0.00016928	0.01744205	0.09270846	0.11031979	1.00000000
 46	0.00015534	0.01743559	0.09211602	0.10970695	1.00000000
 47	0.00017156	0.01700961	0.09218166	0.10936283	1.00000000
 48	0.00015901	0.01701526	0.09188688	0.10906115	1.00000000
 49	0.00016314	0.01767141	0.09152346	0.10935801	1.00000000
 50	0.00016680	0.01660545	0.09169753	0.10846978	1.00000000
 51	0.00015542	0.01696592	0.09162359	0.10874494	1.00000000
 52	0.00021449	0.01688838	0.09308887	0.11019174	1.00000000
 53	0.00017759	0.01696080	0.09050666	0.10764506	1.00000000
 54	0.00015791	0.01657286	0.09112267	0.10785344	1.00000000
 55	0.00016436	0.01632010	0.09164922	0.10813369	1.00000000
 56	0.00019822	0.01704812	0.09132273	0.10856908	1.00000000
 57	0.00017164	0.01676889	0.08943254	0.10637307	1.00000000
 58	0.00016491	0.01707570	0.09081841	0.10805902	1.00000000
 59	0.00016136	0.01712003	0.09067567	0.10795706	1.00000000
 60	0.00015889	0.01728258	0.08993699	0.10737847	1.00000000
 61	0.00015981	0.01599728	0.09048740	0.10664449	1.00000000
 62	0.00016430	0.01633195	0.09078072	0.10727698	1.00000000
 63	0.00016778	0.01665492	0.09097683	0.10779954	1.00000000
 64	0.00016006	0.01720219	0.09042308	0.10778532	1.00000000
 65	0.00017084	0.01581304	0.08910999	0.10509387	1.00000000
 66	0.00015508	0.01636613	0.08965350	0.10617470	1.00000000
 67	0.00741386	0.02669025	0.10587254	0.13997665	0.99800781
 68	0.00206774	0.02848281	0.10259312	0.13314367	0.99945313
 69	0.00027405	0.01912073	0.09563333	0.11502812	1.00000000
 70	0.00024897	0.01763861	0.09434344	0.11223103	1.00000000
 71	0.00025767	0.01733127	0.09355267	0.11114161	0.99996094
 72	0.00022018	0.01793323	0.09245883	0.11061224	1.00000000
 73	0.00020591	0.01667831	0.09057348	0.10745771	1.00000000
 74	0.00019408	0.01656982	0.09210521	0.10886911	1.00000000
 75	0.00020772	0.01628889	0.09068655	0.10718315	1.00000000
 76	0.00020147	0.01636580	0.09138366	0.10795093	1.00000000
 77	0.00018983	0.01676436	0.09177324	0.10872744	1.00000000
 78	0.00018691	0.01657993	0.09095256	0.10771941	1.00000000
 79	0.00018603	0.01649153	0.09091979	0.10759735	1.00000000
 80	0.00017678	0.01638252	0.09045417	0.10701347	1.00000000
 81	0.00017548	0.01533447	0.09107656	0.10658651	1.00000000
 82	0.00018204	0.01594201	0.09022004	0.10634409	1.00000000
 83	0.00016887	0.01612177	0.09091826	0.10720890	1.00000000
 84	0.00448204	0.01848752	0.09552577	0.11849532	0.99898438
 85	0.00157739	0.02196529	0.09764885	0.12119153	0.99976562
 86	0.00024475	0.01716560	0.09217465	0.10958501	1.00000000
 87	0.00022527	0.01640405	0.09178034	0.10840965	1.00000000
 88	0.00019377	0.01610889	0.09038941	0.10669207	1.00000000
 89	0.00021811	0.01542252	0.09034225	0.10598288	1.00000000
 90	0.00018018	0.01543663	0.09123779	0.10685460	1.00000000
 91	0.00020665	0.01590445	0.09085744	0.10696854	1.00000000
 92	0.00017801	0.01580574	0.09047359	0.10645733	1.00000000
 93	0.00016958	0.01568104	0.09147254	0.10732316	1.00000000
 94	0.00016567	0.01533750	0.08987705	0.10538022	1.00000000
 95	0.00016171	0.01550744	0.08999018	0.10565933	1.00000000
 96	0.00015400	0.01536920	0.09004259	0.10556579	1.00000000
 97	0.00015504	0.01537441	0.08978557	0.10531503	1.00000000
 98	0.00014419	0.01537752	0.08944341	0.10496513	1.00000000
 99	0.00014566	0.01490149	0.09004196	0.10508911	1.00000000
100	0.00013871	0.01514612	0.08992203	0.10520685	1.00000000
101	0.00018335	0.01537947	0.09091259	0.10647541	1.00000000
102	0.00013509	0.01491794	0.09005513	0.10510816	1.00000000
103	0.00013181	0.01464380	0.09108271	0.10585833	1.00000000
104	0.00011778	0.01454973	0.09027691	0.10494441	1.00000000
105	0.00012510	0.01530221	0.09132662	0.10675392	1.00000000
106	0.00011867	0.01473883	0.08994101	0.10479851	1.00000000
107	0.00012027	0.01492671	0.08864184	0.10368882	1.00000000
108	0.00011545	0.01452656	0.08960027	0.10424228	1.00000000
109	0.00011084	0.01518178	0.09039278	0.10568541	1.00000000
110	0.00011233	0.01545215	0.09114792	0.10671241	1.00000000
111	0.00010946	0.01493443	0.08970809	0.10475198	1.00000000
112	0.00010890	0.01432834	0.09046682	0.10490406	1.00000000
113	0.00010527	0.01479706	0.08975784	0.10466016	1.00000000
114	0.00011946	0.01492972	0.08947752	0.10452670	1.00000000
115	0.00010510	0.01490927	0.09061699	0.10563136	1.00000000
