Epoch	ClsLoss	DecLoss	DivLoss	LossSum	Accuracy
  1	0.33309196	0.17006380	0.30304043	0.80619619	0.90156250
  2	0.00235171	0.04004745	0.13269863	0.17509780	0.99980469
  3	0.00152409	0.03337762	0.11726816	0.15216986	0.99988281
  4	0.00093679	0.02835966	0.10991028	0.13920673	1.00000000
  5	0.00305657	0.03270047	0.11236544	0.14812248	0.99929687
  6	0.00428929	0.03084528	0.10971726	0.14485183	0.99906250
  7	0.00161271	0.03009563	0.10602995	0.13773829	0.99968750
  8	0.00045371	0.02421745	0.10100200	0.12567316	1.00000000
  9	0.00035144	0.02294402	0.09835898	0.12165445	1.00000000
 10	0.00051209	0.02213420	0.09879118	0.12143747	1.00000000
 11	0.00052568	0.02100208	0.09724451	0.11877228	0.99996094
 12	0.00030358	0.02082283	0.09586109	0.11698750	1.00000000
 13	0.00037451	0.01930858	0.09467708	0.11436018	1.00000000
 14	0.01056000	0.03736028	0.12097443	0.16889470	0.99753906
 15	0.00054120	0.02450972	0.10040488	0.12545580	0.99996094
 16	0.00040011	0.02107736	0.09739172	0.11886920	1.00000000
 17	0.00035309	0.01999239	0.09588592	0.11623139	1.00000000
 18	0.00493025	0.02606607	0.10440095	0.13539726	0.99906250
 19	0.00033340	0.02269505	0.09803437	0.12106282	0.99996094
 20	0.00022414	0.01948791	0.09513166	0.11484371	1.00000000
 21	0.00025415	0.01889393	0.09474512	0.11389320	1.00000000
 22	0.00022836	0.01951943	0.09402705	0.11377484	1.00000000
 23	0.00023385	0.01816679	0.09355996	0.11196061	1.00000000
 24	0.00024434	0.01767954	0.09367932	0.11160319	1.00000000
 25	0.00024557	0.01734154	0.09238940	0.10997651	1.00000000
 26	0.00031504	0.01728046	0.09277675	0.11037225	1.00000000
 27	0.00024002	0.01792636	0.09252822	0.11069461	1.00000000
 28	0.00022644	0.01714023	0.09275402	0.11012069	1.00000000
 29	0.00024563	0.01776668	0.09177474	0.10978704	1.00000000
 30	0.00024957	0.01691037	0.09053924	0.10769918	1.00000000
 31	0.00514822	0.02459725	0.10429902	0.13404449	0.99855469
 32	0.00031575	0.02191609	0.09698392	0.11921576	0.99996094
 33	0.00023147	0.01813725	0.09351080	0.11187953	1.00000000
 34	0.00019833	0.01790882	0.09185806	0.10996522	1.00000000
 35	0.00022166	0.01746591	0.09291308	0.11060065	1.00000000
 36	0.00020858	0.01701093	0.09144927	0.10866878	1.00000000
 37	0.00046033	0.01770676	0.09208057	0.11024765	0.99996094
 38	0.00019979	0.01721501	0.09217021	0.10958502	1.00000000
 39	0.00018877	0.01689368	0.09156925	0.10865170	1.00000000
 40	0.00641095	0.02732858	0.10543288	0.13917241	0.99808594
 41	0.00174703	0.02233925	0.09836906	0.12245534	0.99960938
 42	0.00023776	0.01933284	0.09433314	0.11390374	0.99996094
 43	0.00018856	0.01755154	0.09392034	0.11166043	1.00000000
 44	0.00029571	0.01727986	0.09325319	0.11082876	0.99992187
 45	0.00016336	0.01667950	0.09185305	0.10869591	1.00000000
 46	0.00017600	0.01624318	0.09122046	0.10763964	1.00000000
 47	0.00017683	0.01710456	0.09086447	0.10814586	1.00000000
 48	0.00017217	0.01616012	0.09241278	0.10874508	1.00000000
 49	0.00018034	0.01673695	0.09175303	0.10867032	1.00000000
 50	0.00081857	0.01700457	0.09449149	0.11231462	0.99984375
 51	0.00034139	0.01793467	0.09273652	0.11101258	0.99992187
